x,T,CH4,O2,H2O,CO,CO2,N2
0.003026756,689.5234364,0.188170521,5.91E-34,0.023367171,0.154495154,0.071336065,0.562631088
0.003060201,688.4172101,0.192395653,2.18E-34,0.023339226,0.152725608,0.071699209,0.559840305
0.003093645,687.3176996,0.196620313,0,0.023311646,0.150958266,0.072060173,0.557049601
0.00312709,686.2244666,0.20084442,0,0.023284375,0.149193327,0.072418873,0.554259005
0.003160535,685.1370898,0.205067917,0,0.023257371,0.147430916,0.072775261,0.551468534
0.00319398,684.0551656,0.209290743,4.55E-34,0.023230589,0.145671186,0.073129272,0.54867821
0.003227425,682.978322,0.213512832,0,0.023203986,0.143914298,0.073480831,0.545888053
0.00326087,681.9061905,0.217734134,0,0.023177529,0.142160376,0.073829882,0.543098079
0.003294314,680.8384216,0.221954587,0,0.023151179,0.140409577,0.074176348,0.540308309
0.003327759,679.7746907,0.226174141,0,0.023124907,0.138662027,0.074520167,0.537518758
0.003361204,678.7146798,0.230392747,0,0.023098685,0.136917856,0.074861272,0.534729441
0.003394649,677.6580818,0.234610347,0,0.02307248,0.13517722,0.075199576,0.531940377
0.003428094,676.604601,0.238826905,0,0.023046274,0.133440215,0.07553503,0.529151576
0.003461538,675.5539567,0.243042369,0,0.023020042,0.131706984,0.075867552,0.526363054
0.003494983,674.5058753,0.247256694,0,0.022993763,0.129977649,0.076197069,0.523574825
0.003528428,673.4600897,0.251469839,0,0.022967419,0.128252331,0.07652351,0.520786901
0.003561873,672.4163528,0.255681756,0,0.022940992,0.126531166,0.07684679,0.517999295
0.003595318,671.3744064,0.259892409,0,0.022914468,0.124814261,0.077166843,0.515212019
0.003628763,670.3340165,0.264101756,0,0.022887832,0.12310174,0.077483587,0.512425085
0.003662207,669.2949427,0.268309755,0,0.022861073,0.121393732,0.077796937,0.509638503
0.003695652,668.2569644,0.272516362,0,0.022834176,0.11969037,0.078106805,0.506852288
0.003729097,667.2198545,0.276721548,0,0.022807137,0.117991746,0.078413124,0.504066445
0.003762542,666.1833923,0.280925266,0,0.022779944,0.116298006,0.078715795,0.501280989
0.003795987,665.1473685,0.285127485,0,0.022752592,0.114609258,0.079014738,0.498495927
0.003829431,664.1115713,0.289328169,0,0.022725077,0.112925615,0.07930987,0.49571127
0.003862876,663.0758003,0.293527268,0,0.022697388,0.111247238,0.079601076,0.492927029
0.003896321,662.0398434,0.297724764,0,0.022669531,0.109574196,0.079888298,0.49014321
0.003929766,661.0035139,0.301920602,0,0.022641495,0.107906671,0.080171404,0.487359828
0.003963211,659.9666083,0.306114762,0,0.022613286,0.10624474,0.080450327,0.484576886
0.003996656,658.9289356,0.310307197,0,0.022584899,0.104588561,0.080724948,0.481794396
0.0040301,657.8903054,0.314497873,0,0.022556336,0.102938254,0.08099517,0.479012367
0.004063545,656.8505227,0.318686758,0,0.022527602,0.10129394,0.081260894,0.476230806
0.00409699,655.8094055,0.322873809,0,0.022498697,0.099655769,0.081522001,0.473449724
0.004130435,654.7667679,0.327058996,0,0.022469626,0.098023858,0.081778392,0.470669128
0.00416388,653.722419,0.331242283,0,0.022440396,0.096398341,0.082029954,0.467889025
0.004197324,652.6761818,0.33542363,0,0.022411011,0.094779367,0.082276566,0.465109426
0.004230769,651.6278652,0.339603006,0,0.022381481,0.093167057,0.08251812,0.462330336
0.004264214,650.577288,0.343780367,0,0.022351811,0.091561576,0.082754479,0.459551766
0.004297659,649.5242679,0.347955683,0,0.022322013,0.089963049,0.082985533,0.456773723
0.004331104,648.468628,0.352128913,0,0.022292096,0.08837163,0.083211147,0.453996214
0.004364548,647.410173,0.356300021,0,0.022262071,0.086787465,0.083431194,0.451219248
0.004397993,646.3487302,0.360468967,0,0.022231951,0.085210716,0.083645532,0.448442834
0.004431438,645.2841088,0.364635714,0,0.022201748,0.083641532,0.083854027,0.445666979
0.004464883,644.2161315,0.368800223,0,0.022171478,0.082080071,0.084056538,0.44289169
0.004498328,643.1446034,0.372962462,0,0.022141158,0.080526477,0.084252929,0.440116974
0.004531773,642.0693469,0.37712238,0,0.022110801,0.078980944,0.084443032,0.437342843
0.004565217,640.990163,0.381279946,0,0.022080428,0.077443616,0.084626709,0.4345693
0.004598662,639.9068736,0.385435114,0,0.022050056,0.075914682,0.084803792,0.431796356
0.004632107,638.8192802,0.389587844,0,0.022019704,0.074394312,0.084974121,0.429024019
0.004665552,637.7271955,0.393738097,0,0.021989395,0.07288268,0.085137533,0.426252295
0.004698997,636.6304211,0.397885829,0,0.021959151,0.07137997,0.085293857,0.423481193
0.004732441,635.528761,0.402030998,0,0.021928995,0.069886371,0.085442915,0.420710721
0.004765886,634.4220163,0.406173562,0,0.021898953,0.068402067,0.085584532,0.417940885
0.004799331,633.3099831,0.410313474,0,0.02186905,0.066927265,0.085718515,0.415171696
0.004832776,632.1924613,0.414450688,0,0.021839312,0.065462164,0.085844675,0.412403161
0.004866221,631.0692435,0.418585158,0,0.021809768,0.064006974,0.085962812,0.409635288
0.004899666,629.9401203,0.422716843,0,0.02178045,0.062561887,0.086072737,0.406868084
0.00493311,628.8048753,0.426845691,0,0.021751387,0.06112713,0.086174233,0.404101559
0.004966555,627.6632955,0.430971653,0,0.021722611,0.059702928,0.086267088,0.40133572
0.005,626.5151632,0.435094685,0,0.021694159,0.05828949,0.086351091,0.398570576
0.005033445,625.360253,0.439214732,0,0.021666063,0.05688706,0.08642601,0.395806134
0.00506689,624.1983385,0.443331747,0,0.021638362,0.055495867,0.08649162,0.393042404
0.005100334,623.0291934,0.447445673,0,0.021611093,0.054116163,0.086547677,0.390279395
0.005133779,621.8525832,0.451556465,0,0.021584297,0.052748175,0.08659395,0.387517112
0.005167224,620.6682683,0.455664061,0,0.021558013,0.051392178,0.086630179,0.384755568
0.005200669,619.4760134,0.459768411,0,0.021532285,0.05004842,0.086656114,0.38199477
0.005234114,618.2755619,0.463869464,0,0.02150716,0.048717151,0.0866715,0.379234724
0.005267559,617.0666744,0.467967154,0,0.02148268,0.047398665,0.086676058,0.376475443
0.005301003,615.8490933,0.472061427,0,0.021458892,0.046093233,0.086669514,0.373716935
0.005334448,614.6225618,0.476152225,0,0.021435846,0.044801128,0.086651593,0.370959207
0.005367893,613.386814,0.480239492,0,0.021413595,0.043522635,0.086622009,0.368202269
0.005401338,612.1415883,0.484323158,0,0.021392186,0.042258067,0.086580457,0.365446132
0.005434783,610.8866097,0.488403172,0,0.021371675,0.0410077,0.086526651,0.362690802
0.005468227,609.6216034,0.492479463,0,0.021352115,0.039771858,0.086460272,0.359936291
0.005501672,608.3462902,0.496551972,0,0.021333564,0.03855084,0.086381016,0.357182608
0.005535117,607.0603864,0.500620635,0,0.021316079,0.03734496,0.086288565,0.354429761
0.005568562,605.7636081,0.504685381,0,0.021299716,0.036154553,0.086182589,0.351677761
0.005602007,604.4556585,0.508746147,0,0.021284535,0.034979936,0.086062764,0.348926619
0.005635452,603.1362449,0.512802866,0,0.021270597,0.03382144,0.085928755,0.346176342
