x,T,CH4,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,H2,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,C3H7,C3H8,CH2CHO,CH3CHO,N2,AR
9.20E-04,1717.877034,4.88E-10,2.67E-06,9.66E-10,9.50E-10,2.66E-06,0.107915248,1.14E-15,5.45E-14,1.25E-22,2.09E-19,8.08E-19,9.34E-19,1.06E-14,0.011035953,0.122231904,0.060259769,6.05E-09,7.25E-09,1.19E-15,4.05E-17,2.53E-18,3.97E-29,8.07E-26,1.89E-29,1.40E-27,1.44E-29,3.41E-29,1.87E-21,4.00E-21,1.77E-29,9.52E-16,6.26E-14,1.05E-09,9.18E-07,8.02E-11,1.98E-07,2.95E-17,1.88E-16,3.66E-14,3.49E-14,7.10E-08,3.14E-15,1.44E-22,3.15E-21,6.28E-15,4.60E-08,6.13E-14,0,0,3.02E-25,1.70E-28,0.698550545,1.92E-10
9.53E-04,1671.065034,1.12E-09,1.82E-06,3.14E-10,2.69E-10,1.39E-06,0.104083363,2.64E-16,1.61E-14,4.12E-23,1.05E-19,5.72E-19,6.91E-19,1.45E-14,0.012306137,0.129301528,0.058326898,5.00E-09,8.51E-09,1.06E-15,3.70E-17,2.10E-18,1.03E-29,9.04E-26,9.26E-30,1.50E-27,1.93E-29,5.69E-29,1.18E-21,3.80E-21,7.73E-30,3.30E-16,3.21E-14,8.07E-10,1.19E-06,5.16E-11,8.78E-08,5.31E-18,4.75E-17,1.17E-14,2.43E-14,9.16E-08,3.15E-15,7.88E-23,1.36E-21,3.66E-15,5.10E-08,3.86E-14,0,0,2.42E-25,1.20E-28,0.695977427,1.24E-10
9.87E-04,1624.928025,2.56E-09,1.21E-06,4.32E-12,1.08E-12,7.11E-07,0.100105892,4.47E-17,4.55E-15,1.08E-23,5.21E-20,3.51E-19,5.42E-19,1.92E-14,0.013592324,0.136145817,0.056748066,4.05E-09,9.86E-09,9.12E-16,3.33E-17,1.42E-18,2.34E-30,4.33E-26,4.14E-30,1.31E-27,2.39E-29,8.85E-29,6.35E-22,2.89E-21,2.43E-30,1.09E-16,1.57E-14,6.04E-10,1.53E-06,3.73E-11,3.82E-08,8.73E-19,6.69E-18,3.53E-15,1.62E-14,1.16E-07,3.09E-15,3.52E-23,5.42E-22,2.03E-15,5.62E-08,2.34E-14,0,0,1.59E-25,6.21E-29,0.693404224,2.54E-10
0.001020067,1579.441527,5.79E-09,7.91E-07,9.12E-13,4.20E-15,3.55E-07,0.096004969,1.07E-17,1.22E-15,4.14E-24,2.21E-20,2.82E-19,3.29E-19,2.49E-14,0.014892107,0.142798706,0.055469946,3.20E-09,1.13E-08,7.43E-16,2.71E-17,1.54E-18,5.75E-31,4.33E-26,1.91E-30,1.73E-27,6.02E-29,2.81E-28,4.50E-22,3.92E-21,2.35E-30,3.64E-17,7.32E-15,4.41E-10,1.94E-06,1.91E-11,1.62E-08,1.45E-19,1.69E-18,1.05E-15,1.02E-14,1.46E-07,2.76E-15,2.28E-23,2.21E-22,1.11E-15,6.14E-08,1.39E-14,0,0,1.72E-25,9.52E-29,0.690830938,1.12E-10
0.001053512,1534.583105,1.31E-08,5.03E-07,2.50E-13,1.59E-17,1.72E-07,0.091797898,2.32E-18,3.12E-16,1.31E-24,8.51E-21,1.98E-19,1.94E-19,3.13E-14,0.016203604,0.149286827,0.054450689,2.48E-09,1.28E-08,5.90E-16,2.15E-17,1.55E-18,1.16E-31,4.35E-26,7.75E-31,1.94E-27,1.65E-28,9.78E-28,2.74E-22,4.83E-21,2.08E-30,1.13E-17,3.25E-15,3.14E-10,2.46E-06,1.04E-11,6.67E-09,2.20E-20,3.83E-19,2.94E-16,6.00E-15,1.82E-07,2.41E-15,1.24E-23,8.05E-23,5.74E-16,6.68E-08,7.92E-15,0,0,1.75E-25,1.41E-28,0.68825756,6.49E-11
0.001086957,1490.331982,3.00E-08,3.12E-07,6.48E-14,7.64E-20,8.13E-08,0.087498377,4.73E-19,7.54E-17,3.68E-25,3.07E-21,1.33E-19,1.13E-19,3.84E-14,0.017525318,0.155631315,0.05365707,1.89E-09,1.45E-08,4.52E-16,1.64E-17,1.49E-18,2.16E-32,3.67E-26,2.98E-31,2.00E-27,4.29E-28,3.21E-27,1.57E-22,5.73E-21,1.69E-30,3.35E-18,1.37E-15,2.18E-10,3.11E-06,5.60E-12,2.67E-09,3.11E-21,8.14E-20,7.95E-17,3.34E-15,2.24E-07,2.04E-15,6.12E-24,2.75E-23,2.83E-16,7.23E-08,4.34E-15,0,0,1.75E-25,1.99E-28,0.685684068,5.11E-11
0.001120401,1446.668758,6.92E-08,1.88E-07,1.59E-14,2.96E-21,3.72E-08,0.083117442,9.28E-20,1.72E-17,9.27E-26,1.08E-21,8.54E-20,6.55E-20,4.62E-14,0.018856037,0.161849205,0.053062287,1.40E-09,1.62E-08,3.36E-16,1.22E-17,1.31E-18,3.88E-33,3.03E-26,1.12E-31,2.26E-27,9.40E-28,8.92E-27,8.45E-23,6.19E-21,1.10E-30,9.48E-19,5.50E-16,1.47E-10,3.93E-06,3.02E-12,1.03E-09,4.09E-22,1.66E-20,2.09E-17,1.80E-15,2.75E-07,1.68E-15,2.80E-24,9.03E-24,1.35E-16,7.80E-08,2.31E-15,0,0,1.62E-25,2.39E-28,0.683110436,5.03E-11
0.001153846,1403.575244,1.62E-07,1.11E-07,3.63E-15,3.74E-22,1.64E-08,0.07866422,1.63E-20,3.64E-18,2.05E-26,3.47E-22,5.17E-20,3.62E-20,5.44E-14,0.020194745,0.167954533,0.052644197,1.02E-09,1.80E-08,2.43E-16,8.81E-18,1.14E-18,6.56E-34,2.39E-26,3.97E-32,9.87E-26,2.09E-27,2.52E-26,4.23E-23,6.59E-21,6.93E-31,2.46E-19,8.48E-18,1.07E-12,4.95E-06,1.59E-12,3.82E-10,4.84E-23,3.02E-21,4.04E-18,9.07E-16,3.36E-07,1.34E-15,1.15E-24,2.55E-24,6.05E-17,8.39E-08,1.17E-15,0,0,1.50E-25,2.89E-28,0.680536623,1.53E-10
0.001187291,1361.034437,3.86E-07,6.30E-08,7.78E-16,3.54E-23,6.96E-09,0.074146569,2.55E-21,7.20E-19,3.72E-27,1.12E-22,2.76E-20,1.99E-20,6.25E-14,0.021540549,0.173959222,0.05238385,7.29E-10,1.99E-08,1.70E-16,6.45E-18,7.64E-19,1.01E-34,1.39E-26,6.13E-32,2.91E-23,2.56E-27,3.96E-26,1.84E-23,5.08E-21,2.20E-31,5.96E-20,2.43E-18,3.40E-13,6.26E-06,8.31E-13,1.36E-10,5.12E-24,4.83E-22,8.57E-19,4.55E-16,4.09E-07,1.08E-15,4.16E-25,6.85E-25,2.55E-17,9.00E-08,5.70E-16,1.77E-36,0,1.05E-25,1.92E-28,0.677962577,1.30E-10
0.001220736,1319.030895,9.44E-07,3.48E-08,1.57E-16,3.02E-24,2.84E-09,0.06957171,3.99E-22,1.31E-19,6.58E-28,3.52E-23,1.49E-20,1.08E-20,7.19E-14,0.022892588,0.179873777,0.052264182,5.06E-10,2.20E-08,1.14E-16,4.54E-18,4.90E-19,1.57E-35,7.81E-27,1.53E-29,9.04E-21,3.07E-27,2.41E-25,8.00E-24,3.88E-21,6.54E-32,2.05E-22,9.00E-19,1.99E-13,7.92E-06,4.22E-13,4.28E-13,1.62E-26,7.66E-23,7.13E-21,2.24E-16,4.98E-07,8.37E-16,1.51E-25,1.82E-25,1.05E-17,9.64E-08,2.72E-16,5.49E-34,0,7.16E-26,1.23E-28,0.675388227,1.69E-10
