phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.953061224489796,3047.3665557762347,0.07991665347260365,0.05711368819867069,0.05111900690062736,0.12077525366877831,0.1174678620597174,0.47823114291932534,6.340534020711237e-05,2.8062187604044813e-06,1.9268761498561485e-11,2.043716112934802e-12,1.1358752743834803e-12,1.1783886830419043e-13,8.629600679825033e-13,7.765347377965142e-14,0.1794471078593309,0.1432889678573951,6.160981220584844e-07,4.804007691430072e-09,2.545450552467787e-13,6.540382541550962e-15,5.736955726105723e-15,2.9569309820983055e-17,2.256307972553018e-16,1.8265064261859102e-20,2.2093729697311574e-21,2.5998990307319956e-25,4.275915610742784e-27,6.378419314297661e-15,1.3856646520513161e-15,9.647169693991529e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52545012264927e-38,5.366171065463727e-40,6.664010929037836e-20,3.514632850682239e-21,0.0
1.0183673469387755,3053.58603757063,0.093934431528777,0.06356059481104576,0.047291988658703085,0.0976802136917647,0.11486084566050779,0.4916045211752165,5.521664305413844e-05,2.5979125987459293e-06,2.5588547748608206e-11,2.8911987725206987e-12,1.6991963821834731e-12,1.7680366385439426e-13,1.362048613924302e-12,1.2966849480629584e-13,0.19879317635364196,0.1385962026243195,7.433645623181456e-07,6.161826442297299e-09,3.539702368316084e-13,9.120441580199412e-15,8.45419435166722e-15,5.152019741452702e-17,4.116606570096075e-16,3.6034128960236255e-20,4.5980022691627865e-21,5.851730984526695e-25,1.0189979916039707e-26,9.607841958391475e-15,2.2060432896940423e-15,1.5527786007713096e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1330182491783513e-37,1.8258367368047706e-39,1.1478490763944024e-19,6.415500551475636e-21,0.0
1.0836734693877552,3055.999083445005,0.10944923548500433,0.06961623833372801,0.04283955580590228,0.07772116841659464,0.11071688548220192,0.503203646973508,4.708783514727987e-05,2.362758666599301e-06,3.2529913471965106e-11,3.923035094339163e-12,2.4538755874931765e-12,2.5562258797197536e-13,2.0916685735706393e-12,2.1197479096774095e-13,0.2179920359460222,0.13342997752611804,8.775469737233577e-07,7.757688986423037e-09,4.789043883626018e-13,1.2352833122386169e-14,1.2183737753009047e-14,8.555221807484866e-17,7.247925847344374e-16,6.810902183280379e-20,9.241011496477529e-21,1.2626426415777728e-24,2.341270831507253e-26,1.3953384919249479e-14,3.4091870603509376e-15,2.4098260847289797e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436757102412744e-37,5.897122735516218e-39,1.9047211516828397e-19,1.1339878286737084e-20,0.0
1.1489795918367347,3054.6096601720415,0.1266205903218762,0.07511047527539422,0.03795009493900627,0.06067419045002574,0.10515134480380564,0.5129734955007719,3.9247289941688e-05,2.1085994621267436e-06,3.971558239975814e-11,5.125922444636696e-12,3.4370769502729183e-12,3.5780690312823375e-13,3.142182266890475e-12,3.4131920751498973e-13,0.23699949356712408,0.12787310365335475,1.0160295795519476e-06,9.617077035069357e-09,6.328955861675957e-13,1.6314736242046754e-14,1.7252122835019544e-14,1.3633227032895263e-16,1.2408358337637686e-15,1.2437489049212973e-19,1.809954027287714e-20,2.6377823406426596e-24,5.24169567872566e-26,1.964369612871814e-14,5.145508501932798e-15,3.6283102155128264e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981612605797192e-37,1.8355357768294237e-38,3.066072912663145e-19,1.9558491004446118e-20,0.0
1.2142857142857144,3049.3101781708297,0.14563011313359603,0.0798535801866226,0.032813758685037414,0.04632806877917417,0.09829891857727535,0.5208308145011338,3.189134478555212e-05,1.8433609918235344e-06,4.663958191761993e-11,6.4646795475538965e-12,4.684661922523402e-12,4.864517761328395e-13,4.637210313578206e-12,5.441458669533606e-13,0.2557770424582273,0.12199956796504575,1.1556106317316757e-06,1.176807797619286e-08,8.19370100416876e-13,2.1071592231964233e-14,2.4094056364924433e-14,2.095284033525891e-16,2.0782164360369134e-15,2.208864673024988e-19,3.481046840595926e-20,5.3786898058054775e-24,1.1538400105860218e-25,2.691476882572469e-14,7.622373103298966e-15,5.324999194968793e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8090948355426328e-36,5.576990193771533e-38,4.813918394563972e-19,3.31253119953596e-20,0.0
1.279591836734694,3039.8976201695714,0.16667657130433797,0.08363727456228931,0.027622502894787418,0.0344761022047272,0.0903245237976696,0.5266637314209505,2.5184950068480476e-05,1.575122530862298e-06,5.268849472479305e-11,7.877107582517128e-12,6.22632204157577e-12,6.436261612734085e-13,6.745512114738222e-12,8.627496200048554e-13,0.2742872357698437,0.1158794725546822,1.2923999371437114e-06,1.4240837994288675e-08,1.041299165004654e-12,2.666581793981586e-14,3.329078521256966e-14,3.1162886307124116e-16,3.421999695924765e-15,3.834967047458706e-19,6.616545686741858e-20,1.0776728095056101e-23,2.5167524868673827e-25,3.59927876224874e-14,1.1126901206460099e-14,7.645090616761838e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73687755665532e-36,1.6724241510565446e-37,7.403217021958387e-19,5.53835785046673e-20,0.0
1.3448979591836736,3026.0932138850876,0.18996427649206438,0.08624111625848485,0.022567198873529173,0.024907278686326403,0.08143504930329537,0.530334842547698,1.9258929154255178e-05,1.3120844199576633e-06,5.7192691324636164e-11,9.270733550978363e-12,8.077936824410555e-12,8.294819751954423e-13,9.695893393708571e-12,1.3655914906898672e-12,0.2924890937904616,0.10958390302494156,1.4217444657978253e-06,1.7066064303080822e-08,1.300655410873799e-12,3.310012750087127e-14,4.5619390081793316e-14,4.494154664281269e-16,5.561192871970906e-15,6.5343831855039145e-19,1.2495737270177864e-19,2.1330752605757215e-23,5.475641431040711e-25,4.706509814007962e-14,1.605716951092019e-14,1.0764882237003934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10259788516954e-35,4.996952018041227e-37,1.1187499615776867e-18,9.181292358550505e-20,0.0
1.410204081632653,3007.5724192753814,0.21568152822977774,0.0874473962926338,0.017830421083977404,0.017397401547998972,0.0718894692263073,0.5316907561356339,1.4204019868210858e-05,1.0623653976514767e-06,5.951661156005895e-11,1.052420103958685e-11,1.0230692622960263e-11,1.0410824166840862e-12,1.3794215585799529e-11,2.1645684539306264e-12,0.31033376542585883,0.10318951147014957,1.5382406828363914e-06,2.0272102834860264e-08,1.5976042020699403e-12,4.031500302900329e-14,6.211216501583656e-14,6.28892199376143e-16,8.945392528515249e-15,1.095602413359843e-18,2.3548545987104213e-19,4.1879831721442986e-23,1.1947834121299671e-24,6.023533573535779e-14,2.296312344794505e-14,1.4890549886299677e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.674362732071641e-35,1.4991606073175381e-36,1.6649047698438056e-18,1.5144061175879204e-19,0.0
1.4755102040816328,2984.0107359124477,0.24396691774072796,0.08706733146520337,0.013573966252752537,0.011701879196864206,0.062002429468227135,0.5305813364592146,1.006286738411036e-05,8.335602244244937e-07,5.918768913954928e-11,1.1496980693304074e-11,1.2637627586171576e-11,1.2711022764797403e-12,1.943960195004013e-11,3.4436943048355455e-12,0.3277613064832677,0.09678195444034964,1.6359195207636304e-06,2.3880247543998833e-08,1.9294417868242166e-12,4.816234334915226e-14,8.412133214885418e-14,8.534971745979392e-16,1.426768506971587e-14,1.810114122839974e-18,4.441901832496325e-19,8.177730935044349e-23,2.6251244427697436e-24,7.546166696085804e-14,3.2596871660812836e-14,2.02493236775877e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5274143187865234e-34,4.542397394308945e-36,2.442929827358207e-18,2.491625157681326e-19,0.0
1.5408163265306125,2955.1453262304744,0.2748656285398187,0.08497829264121674,0.00992195486212881,0.00755324409395215,0.05213444403752506,0.5268900802656562,6.822920743979554e-06,6.320421003101569e-07,5.6041453288311825e-11,1.2050379711900485e-11,1.5200598802458403e-11,1.5068183559204878e-12,2.713429079096532e-11,5.506095177844701e-12,0.3447001463283686,0.09045661849745529,1.7086923818237902e-06,2.7898519110905752e-08,2.289448349713656e-12,5.638194991934435e-14,1.133798084243019e-13,1.1216325937515448e-15,2.257970810204243e-14,2.947119452604963e-18,8.400381504424232e-19,1.5898604916430094e-22,5.821517814709377e-24,9.248507297414146e-14,4.596930165609064e-14,2.706895511555989e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.109679369488352e-34,1.3947707296066458e-35,3.5350494381783365e-18,4.0948588870828023e-19,0.0
1.606122448979592,2920.8413023426333,0.3082858648887921,0.0811651123171391,0.006943663961594439,0.004666914557433222,0.042663081886303855,0.5205717859180308,4.4149652088506465e-06,4.6212957580398765e-07,5.033031908258769e-11,1.2078762262257345e-11,1.7763694103548035e-11,1.7300856877040393e-12,3.747986825996905e-11,8.849931387682093e-12,0.36107098231168094,0.08431489693604692,1.7510828419239367e-06,3.231527301281961e-08,2.6660489152937804e-12,6.459284216367627e-14,1.5204810893145256e-13,1.424013344744623e-15,3.5441246755277375e-14,4.723300695522105e-18,1.5931015150576605e-18,3.0759404644991846e-22,1.3037303548679536e-23,1.1076745389490123e-13,6.440775828353668e-14,3.5543543149589736e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1051220913900017e-33,4.344009828012301e-35,5.041596884107159e-18,6.724355255384768e-19,0.0
1.6714285714285715,2881.139328215854,0.3439733288523588,0.07575067299921831,0.00464337709922711,0.002756643946386767,0.03393682077145527,0.5116861578410272,2.721810191468393e-06,3.2541116686683085e-07,4.272856175354104e-11,1.154248215343544e-11,2.012054869548007e-11,1.91900192820729e-12,5.1154669297209994e-11,1.4290214548226834e-11,0.37679561484009905,0.078455507199153,1.7591213490954545e-06,3.709515694715939e-08,3.0428215807068417e-12,7.231269916475713e-14,2.0274769149345306e-13,1.7419259174036549e-15,5.510264849257044e-14,7.436947380458437e-18,3.0266071464258157e-18,5.912182546902296e-22,2.9455703582078654e-23,1.2947018047402598e-13,8.961158943662895e-14,4.578961157479516e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9640810053134867e-33,1.3705221127468105e-34,7.077871991784836e-18,1.1027404564125438e-18,0.0
1.7367346938775512,2836.2600056790325,0.38152077975104126,0.06899919886674627,0.0029639951259084114,0.001556283389606294,0.026224734573952226,0.5004120220015191,1.597712205458259e-06,2.205821984669387e-07,3.419702257514569e-11,1.0487939653342683e-11,2.203973118127979e-11,2.0514061268926327e-12,6.887445948529315e-11,2.3155872748698546e-11,0.3918085730493555,0.07296300141517456,1.7311219459722965e-06,4.2179951123731184e-08,3.3997309867710094e-12,7.901058308406114e-14,2.686042490592339e-13,2.047729309199028e-15,8.471949432915632e-14,1.147765684801889e-17,5.750447411416743e-18,1.1263581387389175e-21,6.701504248515386e-23,1.4749978558305372e-13,1.2371191294021874e-13,5.780355484787549e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.906152577436283e-33,4.369117002671918e-34,9.767947595801046e-18,1.804165648187345e-18,0.0
1.802040816326531,2786.5589237226827,0.42041524138563335,0.06128579618635741,0.001805075033332103,0.0008400243280953726,0.01968178611955356,0.4870329359708986,8.930138773724613e-07,1.4395735609708672e-07,2.5746466448614562e-11,9.042670100568288e-12,2.33042096445306e-11,2.1093850991814343e-12,9.134750730708597e-11,3.7616271363273964e-11,0.4060670852121364,0.06789791944258276,1.6680421949649257e-06,4.7494916774239494e-08,3.715447557497646e-12,8.418212918572073e-14,3.5334973728997837e-13,2.308325526601561e-15,1.286111558576338e-13,1.7328077490683532e-17,1.0909160027973499e-17,2.122652682828915e-21,1.5326422367951564e-22,1.636230810496633e-13,1.6935661969704525e-13,7.143435207360451e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0915817155450102e-32,1.4040608103691771e-33,1.3237139113197038e-17,2.942391388873513e-18,0.0
1.8673469387755104,2732.4538928555103,0.4601060582547668,0.053042588891582615,0.0010481970342347856,0.000433557984921852,0.014342974562460118,0.4718992004839626,4.752480118464413e-07,9.046839976881425e-08,1.820121972970042e-11,7.385535795174575e-12,2.3753279728859807e-11,2.0832833196016815e-12,1.1923861158648377e-10,6.1239600029244e-11,0.41955540969451516,0.06329256807483033,1.573316567303538e-06,5.295854027177467e-08,3.970083864648514e-12,8.742429776548564e-14,4.615421675495935e-13,2.4910479301144394e-15,1.9259709155897667e-13,2.555807292956619e-17,2.06484447656472e-17,3.952583260559968e-21,3.521048926585694e-22,1.7662386547792333e-13,2.2985336308933837e-13,8.638007568774504e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480830530829644e-32,4.5442843573513274e-33,1.7605680307745803e-17,4.782801975575404e-18,0.0
1.9326530612244899,2674.359498510968,0.5000689359715552,0.044701433257859566,0.0005797249793663198,0.0002138253863366045,0.010144146025618453,0.45538224942963923,2.4064325182720666e-07,5.473260060110959e-08,1.2057479903278568e-11,5.704712663939244e-12,2.3314295686418408e-11,1.9739075581872e-12,1.5315173944059471e-10,9.997685614257867e-11,0.43228272091451536,0.0591532356207095,1.4523059211505811e-06,5.849225416060557e-08,4.147576968554354e-12,8.848893880913664e-14,5.989550715700729e-13,2.5703330642763408e-15,2.844699876736686e-13,3.681432699883041e-17,3.9010316433049555e-17,7.274057433853324e-21,8.133101599917151e-22,1.8546115696958908e-13,3.094074748154418e-13,1.0220724650774344e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4234847291755198e-31,1.4832229491863922e-32,2.2985574286598944e-17,7.754954335828702e-18,0.0
1.9979591836734696,2612.6543201610302,0.5398492781506724,0.03664903508302935,0.000304754905632226,0.00010058745707106378,0.006956025303631531,0.4378369170053485,1.157352954201636e-07,3.184647542922691e-08,7.466082889736965e-12,4.159560495084873e-12,2.201681052514428e-11,1.7924390762401504e-12,1.9363284885505453e-10,1.6393996600915826e-10,0.4442768618996635,0.05546652986725178,1.3116160394402849e-06,6.402767192271159e-08,4.237286408620054e-12,8.730723060544988e-14,7.731815508168959e-13,2.5333052259291186e-15,4.146901629116145e-13,5.180949570524699e-17,7.369021957453196e-17,1.325042722984132e-20,1.8937308415702305e-21,1.8939959228640975e-13,4.1349362571593195e-13,1.1838618325293292e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6739677106423094e-31,4.9002375908271946e-32,2.948132008219523e-17,1.2565401183822703e-17,0.0
2.063265306122449,2547.6856331159765,0.579082291343793,0.0291992765466733,0.00015183370497221036,4.50033761044459e-05,0.004617693757762416,0.41957859504888234,5.272372166474793e-08,1.779131757121044e-08,4.307997393089622e-12,2.8568409229465713e-12,1.9987948191731724e-11,1.5583247437412636e-12,2.411897895771506e-10,2.7068546931892823e-10,0.45557717192571023,0.05220663227521079,1.1584678462998798e-06,6.951077011818176e-08,4.234785899026163e-12,8.398843647938385e-14,9.945083350703884e-13,2.382849823047403e-15,5.974176006291102e-13,7.131519209474831e-17,1.3956771400052318e-16,2.395362647855544e-20,4.4627749526307796e-21,1.880997144886227e-13,5.494087392815883e-13,1.3433569963350222e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.463629445781766e-31,1.648103871447284e-31,3.71943535385577e-17,2.0399161750627126e-17,0.0
